ID,Tweets
1,Die protestantische Merkel zu Besuch beim Papst
3,Ich fordere Tempolimit für Siegmar Gabriel!
9,SPD-Chef Gabriel lenkt im Streit ums Tempolimit ein: Die SPD pfeift ihren Chef zurück
15,Konklave im Vatikan: Weisser Rauch - neuer Papst ist gewählt
19,Mit dem Herzmenschen Autobahn fahren und nen krass gutes Album hören.
24,"Merkel: ""Es kann keinen Zugriff auf geistige Leistung geben, der völlig kostenlos ist"""
29,"naja das war doch das viel von #CDU/#CSU und #SPD oder habe ich da was falsch verstanden, bzw zu offen gesagt?"
33,Schon wieder so ein alter Papst;(
38,"Der neue Papst Franziskus wird wohl kein Pontifex sein, der die Rechte von Schwulen und Lesben unterstützen wird"
43,Habemus Papam; Und wo sind die Tweets von Pontifex?
48,Der Peer Steinbrück ist doch bestimmt ein Undercover-Politiker der CDU um die SPD auffliegen zu lassen. ;-)
53,FDP: Rot-Grün würde bei Wahlsieg Tempolimit von 120 einführen
57,Berlin: SPD-Chef Gabriel rudert bei Tempo 120 zurück
62,Was der #SPD zum Wahlsieg verhelfen könnte: Beweisfotos die belegen...
67,Latte Macchiato Osterurlaub: Auch Frau Merkel muss sich mal zurückmenscheln
72,Gleich erstmal dem Papst folgen. ;--)
77,Diese Milliardeneinnahmen sind selbst Schäuble peinlich #cdu
81,"Ich fand den Papst geiler, als er noch Underground war. Das ist doch Sellout!"
86,"Papst feiert Osternacht: Die Neuheit Gottes zeige sich im Sieg über die Sünde, das Böse und den Tod."
91,Twitter Pontifex
96,Ischia-Erholung statt Zypern-Krise: Merkel elektrisiert auch im Urlaub
101,Angela Merkel reiste heute in den Vatikan und wurde dort von Papst Franziskus zu einer Privataudienz empfangen
105,"Flotter Papst, hat schon getweetet! #Twitter @pontifex"
110,Gabriel und das Tempolimit - Wahlkampf auf eigene Rechnung: Mitten im Vorwahlkampf hat SPD-Chef Sigmar Gabri...
115,Jetzt kriegt dieser Alfred E. Neumann von der CDU also doch endlich sein Tempolimit für die Datenautobahn #Drosselkom
120,Güring-Eckardt schliesst Koalition mit Merkel aus. Das entscheidet die doch gar net :-)
125,10 Dinge die man als SPD Spitzenkandidat im Wahlkampf nicht tun sollte
129,Franziskus I. nennt sich der neue Papst. Wer ist der neue Pontifex?
134,Partei will Armutsflüchtlinge ausweisen - SPD und Grüne werfen CDU Populismus vor
139,Rot-Grün würde bei Wahlsieg Tempolimit von 120 einführen
144,Ich schlage ein #Tempolimit für SPD und Grüne vor. Der sozialdemokratische Staatswahn geht mir zu weit!
149,Angela Merkel reiste heute in den Vatikan und wurde dort von Papst Franziskus zu einer Privataudienz empfangen....
